domain,url,brand_name,category,esp,source
aarke.com,https://aarke.com,Aarke,kitchen & barware,klaviyo,workflow
aastey.com,https://aastey.com,Aastey,apparel,,workflow
aavrani.com,https://aavrani.com,AAVRANI,wellness & beauty,klaviyo,workflow
abbottlyon.com,https://abbottlyon.com,Abbott Lyon,jewellery,klaviyo,workflow
abeego.com,https://abeego.com,Abeego,Beeswax food wraps,,workflow
aberlite.com,https://aberlite.com,Aberlite,beard care,klaviyo,workflow
aboutface.com,https://aboutface.com,About-Face Beauty,color cosmetics,klaviyo,workflow
absolutecollagen.com,https://absolutecollagen.com,Absolute Collagen,supplements,,workflow
abstracthouse.com,https://abstracthouse.com,Inkbox alt — Posterton,art prints & posters,,workflow
acebeaute.com,https://acebeaute.com,Ace Beaute,color cosmetics,klaviyo,workflow
achedaway.com,https://achedaway.com,Achedaway,recovery devices,,workflow
acheerfulgiver.com,https://acheerfulgiver.com,A Cheerful Giver,candles,klaviyo,workflow
actandacre.com,https://actandacre.com,Act+Acre,haircare,klaviyo,workflow
activistskincare.com,https://activistskincare.com,Activist Skincare,skincare,klaviyo,workflow
acure.com,https://acure.com,Acure,skincare,klaviyo,workflow
adamjk.com,https://adamjk.com,Adam J. Kurtz Shop,stationery & books,,workflow
additionstudio.com,https://additionstudio.com,Addition Studio,incense  candles,,workflow
adenandanais.com,https://adenandanais.com,aden + anais,swaddles,,workflow
adeptcosmetics.com,https://adeptcosmetics.com,Adept Cosmetics,indie color cosmetics,,workflow
adilqadri.com,https://adilqadri.com,Adilqadri,perfume,,workflow
adinaeden.com,https://adinaeden.com,Adina Eden,fashion jewelry,attentive,workflow
adinareyter.com,https://adinareyter.com,Adina Reyter,fine jewelry,klaviyo,workflow
adoredbeast.com,https://adoredbeast.com,Adored Beast Apothecary,pet wellness,klaviyo,workflow
adoredvintage.com,https://adoredvintage.com,Adored Vintage,vintage fashion,,workflow
adorncosmetics.com.au,https://adorncosmetics.com.au,Adorn Cosmetics,clean color cosmetics,attentive,workflow
adozencousins.com,https://adozencousins.com,A Dozen Cousins,food,klaviyo,workflow
aeraforhome.com,https://aeraforhome.com,Aera,diffusers  home fragrance,klaviyo,workflow
aersf.com,https://aersf.com,Aer,bags,klaviyo,workflow
aeryliving.com,https://aeryliving.com,Aery Living,candles  diffusers,klaviyo,workflow
aevor.com,https://aevor.com,AEVOR,Bags & Accessories,klaviyo,workflow
aeyde.com,https://aeyde.com,Aeyde,Footwear & Accessories,klaviyo,workflow
afew-store.com,https://afew-store.com,Afew Store,sneakers,klaviyo,workflow
afieldout.com,https://afieldout.com,Stussy-adjacent Afield Out,streetwear,klaviyo,workflow
afloral.com,https://afloral.com,Afloral,faux & dried flowers,attentive,workflow
afrounicorn.com,https://afrounicorn.com,Afro Unicorn,apparel,klaviyo,workflow
aftco.com,https://aftco.com,AFTCO,fishing apparel,klaviyo,workflow
againfaster.com,https://againfaster.com,Again Faster,strength equipment,klaviyo,workflow
agentnateur.com,https://agentnateur.com,Agent Nateur,wellness & beauty,klaviyo,workflow
agolde.com,https://agolde.com,AGOLDE,denim,klaviyo,workflow
ahead-nutrition.com,https://ahead-nutrition.com,Ahead Nutrition,Food & Snacks,klaviyo,workflow
aimeleondore.com,https://aimeleondore.com,Aimé Leon Dore,apparel,klaviyo,workflow
air-plants.com,https://air-plants.com,Air Plant Design Studio,air plants,,workflow
air-up.com,https://air-up.com,Air Up,beverages,,workflow
airplantsupplyco.com,https://airplantsupplyco.com,Air Plant Supply Co,air plants,,workflow
alamarcosmetics.com,https://alamarcosmetics.com,Alamar Cosmetics,color cosmetics,klaviyo,workflow
alaninu.com,https://alaninu.com,Alani Nu,energy / supplements,klaviyo,workflow
alastin.com,https://alastin.com,Alastin,skincare,,workflow
albamclothing.com,https://albamclothing.com,Albam Clothing,menswear basics,klaviyo,workflow
albanypark.com,https://albanypark.com,Albany Park,furniture,klaviyo,workflow
albaray.co.uk,https://albaray.co.uk,Albaray,contemporary womens label,klaviyo,workflow
albertotorresi.com,https://albertotorresi.com,Alberto Torresi,footwear,,workflow
albioncycling.com,https://albioncycling.com,Albion,cycling apparel,,workflow
alemais.com,https://alemais.com,Alemais,contemporary womens label,klaviyo,workflow
alexandani.com,https://alexandani.com,Alex and Ani,Jewelry,klaviyo,workflow
alexcrane.co,https://alexcrane.co,Alex Crane,menswear basics,klaviyo,workflow
alexmill.com,https://alexmill.com,Alex Mill,menswear basics,klaviyo,workflow
algenist.com,https://algenist.com,Algenist,skincare,klaviyo,workflow
aliceandolivia.com,https://aliceandolivia.com,Alice and Olivia,contemporary womens label,attentive,workflow
aligne.co,https://aligne.co,Aligne,contemporary womens label,klaviyo,workflow
alimapure.com,https://alimapure.com,Alima Pure,mineral makeup,klaviyo,workflow
alivebody.com.au,https://alivebody.com.au,al.ive body,personal care,klaviyo,workflow
all-ett.com,https://all-ett.com,Allett,wallets,,workflow
allbirds.com,https://allbirds.com,Allbirds,footwear,,workflow
allform.com,https://allform.com,Allform,sofas,,workflow
alliesofskin.com,https://alliesofskin.com,Allies of Skin,skincare,klaviyo,workflow
allmatters.com,https://allmatters.com,OrganiCup (AllMatters),period care,klaviyo,workflow
allpressespresso.com,https://allpressespresso.com,Allpress Espresso,coffee,,workflow
allthatgrows.in,https://allthatgrows.in,AllThatGrows,plants,privy,workflow
allthebitter.com,https://allthebitter.com,All The Bitter,non-alcoholic bitters,klaviyo,workflow
aloha.com,https://aloha.com,Aloha,snacks/bars,klaviyo,workflow
aloyoga.com,https://aloyoga.com,Alo Yoga,yoga apparel,attentive,workflow
alpakagear.com,https://alpakagear.com,Alpaka,bags & backpacks,klaviyo,workflow
alphonsomango.in,https://alphonsomango.in,Alphonso Mango,food,,workflow
altenew.com,https://altenew.com,Altenew,craft stamps & paper,klaviyo,workflow
alterecofoods.com,https://alterecofoods.com,Alter Eco,chocolate/pantry,klaviyo,workflow
altrarunning.com,https://altrarunning.com,Altra Running,trail running shoes,,workflow
amamaniere.com,https://amamaniere.com,A Ma Maniére,sneakers/streetwear,klaviyo,workflow
amantelingerie.in,https://amantelingerie.in,Amante,apparel,,workflow
amazfit.com,https://amazfit.com,Amazfit,wearables,,workflow
ambersceats.com,https://ambersceats.com,Amber Sceats,fashion jewelry,klaviyo,workflow
ambraneindia.com,https://ambraneindia.com,Ambrane,electronics,,workflow
ambreblends.com,https://ambreblends.com,Ambré Blends,fragrance  candles,,workflow
americancrew.com,https://americancrew.com,American Crew,mens grooming,klaviyo,workflow
americangirl.com,https://americangirl.com,American Girl,Toys,klaviyo,workflow
americanmeadows.com,https://americanmeadows.com,American Meadows,wildflower seeds & plants,,workflow
americantall.com,https://americantall.com,American Tall,menswear for tall men,klaviyo,workflow
americantrench.com,https://americantrench.com,American Trench,socks,klaviyo,workflow
aminoco.com,https://aminoco.com,Thorne alt - Amino Co,amino acid supplements,klaviyo,workflow
amiparis.com,https://amiparis.com,AMI Paris,Fashion & Apparel,,workflow
amiri.com,https://amiri.com,Amiri,streetwear/luxury,klaviyo,workflow
amoremattress.com,https://amoremattress.com,Amore Mattress,home,klaviyo,workflow
analogwatchco.com,https://analogwatchco.com,Analog Watch Co,watches,klaviyo,workflow
analuisa.com,https://analuisa.com,Ana Luisa,jewelry,,workflow
anandsweets.in,https://anandsweets.in,Anand Sweets,food,,workflow
anaono.com,https://anaono.com,AnaOno,post-mastectomy intimates,klaviyo,workflow
anastasiabeverlyhills.com,https://anastasiabeverlyhills.com,Anastasia Beverly Hills,color cosmetics,,workflow
anbernic.com,https://anbernic.com,Anbernic,handheld gaming,,workflow
ancestralsupplements.com,https://ancestralsupplements.com,Ancestral Supplements,organ supplements,klaviyo,workflow
andalou.com,https://andalou.com,Andalou Naturals,skincare,klaviyo,workflow
andar.com,https://andar.com,Andar,EDC wallets & tech,,workflow
andarwallets.com,https://andarwallets.com,Andar,wallets,,workflow
andieswim.com,https://andieswim.com,Andie Swim,swimwear,klaviyo,workflow
andme.in,https://andme.in,&ME,Health / Wellness,,workflow
andmesh.com,https://andmesh.com,AndMesh,Phone cases,,workflow
andrewpearcebowls.com,https://andrewpearcebowls.com,Andrew Pearce,kitchenware,attentive,workflow
anecdotecandles.com,https://anecdotecandles.com,Anecdote Candles,candles,klaviyo,workflow
animalpak.com,https://animalpak.com,Animal (Universal),bodybuilding supplements,klaviyo,workflow
animalsmatter.com,https://animalsmatter.com,Animals Matter,pet,,workflow
animamundiherbals.com,https://animamundiherbals.com,Anima Mundi,herbal apothecary,klaviyo,workflow
anitako.com,https://anitako.com,Anita Ko,fine jewelry,klaviyo,workflow
anker.com,https://anker.com,Anker,charging / electronics,,workflow
ankerkraut.de,https://ankerkraut.de,Ankerkraut,food,klaviyo,workflow
ankerwork.com,https://ankerwork.com,AnkerWork,Webcams & audio gear,,workflow
ankomn.com,https://ankomn.com,Ankomn,kitchen storage,,workflow
annabeck.com,https://annabeck.com,Anna Beck,fashion jewelry,klaviyo,workflow
annaquan.com,https://annaquan.com,Anna Quan,contemporary womens label,klaviyo,workflow
anniesannuals.com,https://anniesannuals.com,Annie's Annuals & Perennials,annuals & perennials,klaviyo,workflow
annieselke.com,https://annieselke.com,Annie Selke,decor,klaviyo,workflow
anolon.com,https://anolon.com,Anolon,cookware,klaviyo,workflow
anordain.com,https://anordain.com,Anordain,watches,mailchimp,workflow
anovaculinary.com,https://anovaculinary.com,Anova Culinary,kitchen appliances & tools,klaviyo,workflow
answerspetfood.com,https://answerspetfood.com,Answers Pet Food,raw pet food,,workflow
anthonysgoods.com,https://anthonysgoods.com,Anthony's Goods,pantry/baking,klaviyo,workflow
antiquecandleco.com,https://antiquecandleco.com,Antique Candle Co.,soy candles,klaviyo,workflow
antisocialsocialclub.com,https://antisocialsocialclub.com,Anti Social Social Club,streetwear,klaviyo,workflow
antler.com,https://antler.com,Antler,luggage,klaviyo,workflow
anua.com,https://anua.com,Anua,skincare,klaviyo,workflow
anveya.com,https://anveya.com,Anveya,beauty,,workflow
anvilcards.com,https://anvilcards.com,Anvil Cards,greeting cards,,workflow
anyahindmarch.com,https://anyahindmarch.com,Anya Hindmarch,bags,,workflow
apc-us.com,https://apc-us.com,Stripes / A.P.C.,streetwear,klaviyo,workflow
aphogee.com,https://aphogee.com,Aphogee,hair treatment,mailchimp,workflow
apm.mc,https://apm.mc,APM Monaco,Fashion Jewelry,,workflow
apolloneuro.com,https://apolloneuro.com,Apollo Neuro,recovery wearable,klaviyo,workflow
apollonnutrition.com,https://apollonnutrition.com,Apollon Nutrition,hardcore sports supplements,klaviyo,workflow
apothecary87.com,https://apothecary87.com,Apothecary 87,grooming  candles,klaviyo,workflow
apothekary.co,https://apothekary.co,Apothékary,herbal supplements,klaviyo,workflow
apothekeco.com,https://apothekeco.com,Apotheke,candles,klaviyo,workflow
apothia.com,https://apothia.com,Apothia,candles  fragrance,klaviyo,workflow
apparatusstudio.com,https://apparatusstudio.com,Apparatus Studio,lighting,klaviyo,workflow
appointed.co,https://appointed.co,Appointed,stationery,klaviyo,workflow
aprilcoffeeroasters.com,https://aprilcoffeeroasters.com,April Coffee Roasters,coffee roaster,mailchimp,workflow
aprilskateboards.com,https://aprilskateboards.com,April Skateboards,skate,,workflow
apupabove.com,https://apupabove.com,A Pup Above,dog food,klaviyo,workflow
araks.com,https://araks.com,Araks,lingerie / swim,klaviyo,workflow
arata.in,https://arata.in,Arata,beauty,,workflow
archerandolive.com,https://archerandolive.com,Archer & Olive,notebooks & journals,klaviyo,workflow
arcticfoxhaircolor.com,https://arcticfoxhaircolor.com,Arctic Fox,hair color,,workflow
ardelllashes.com,https://ardelllashes.com,Ardell,lashes,klaviyo,workflow
areaware.com,https://areaware.com,Areaware,decor,klaviyo,workflow
areyouami.com,https://areyouami.com,Are You Am I,contemporary womens label,klaviyo,workflow
argalioutdoors.com,https://argalioutdoors.com,Argali,hunting knives & gear,klaviyo,workflow
arianaost.com,https://arianaost.com,Ariana Ost,home decor,klaviyo,workflow
ariesarise.com,https://ariesarise.com,Aries Arise,streetwear,klaviyo,workflow
aristocrazy.com,https://aristocrazy.com,Aristocrazy,fashion jewelry,,workflow
arloskye.com,https://arloskye.com,Arlo Skye,luggage,klaviyo,workflow
armedangels.com,https://armedangels.com,Armedangels,apparel,,workflow
aromaleigh.com,https://aromaleigh.com,Aromaleigh,indie color cosmetics,,workflow
aromamagic.com,https://aromamagic.com,Aroma Magic,beauty,,workflow
arrae.com,https://arrae.com,Arrae,wellness supplements,klaviyo,workflow
artdeco.com,https://artdeco.com,ARTDECO,beauty,,workflow
artilectstudio.com,https://artilectstudio.com,Artilect,merino outdoor apparel,,workflow
artisaire.com,https://artisaire.com,Artisaire,stationery,klaviyo,workflow
artoftea.com,https://artoftea.com,Art of Tea,tea,klaviyo,workflow
artoftimeindia.com,https://artoftimeindia.com,Art of Time,watches,mailchimp,workflow
asancup.com,https://asancup.com,Asan,menstrual cups,klaviyo,workflow
ashandchess.com,https://ashandchess.com,Ash + Chess,art prints & stationery,mailchimp,workflow
ashanderie.com,https://ashanderie.com,Ash & Erie,menswear for shorter men,klaviyo,workflow
ashlandleather.com,https://ashlandleather.com,Ashland Leather,wallets,klaviyo,workflow
ashopofthings.com,https://ashopofthings.com,We Are Amused — A Shop of Things,stationery & gifts,omnisend,workflow
asiamnaturally.com,https://asiamnaturally.com,As I Am,textured haircare,klaviyo,workflow
asitisnutrition.com,https://asitisnutrition.com,AS-IT-IS Nutrition,supplements (India),,workflow
askinosie.com,https://askinosie.com,Askinosie Chocolate,chocolate,klaviyo,workflow
aspenclean.com,https://aspenclean.com,Aspen Clean,cleaning,klaviyo,workflow
asphalte.com,https://asphalte.com,Asphalte,apparel,,workflow
asphaltgold.com,https://asphaltgold.com,Asphaltgold,Sneakers,klaviyo,workflow
asrv.com,https://asrv.com,ASRV,activewear,klaviyo,workflow
assaultfitness.com,https://assaultfitness.com,Assault Fitness,cardio equipment,klaviyo,workflow
assemblycoffee.co.uk,https://assemblycoffee.co.uk,Assembly Coffee,coffee,klaviyo,workflow
assemblylabel.com,https://assemblylabel.com,Assembly Label,contemporary womens label,klaviyo,workflow
astraldesigns.com,https://astraldesigns.com,Astral,water footwear,klaviyo,workflow
astridandmiyu.com,https://astridandmiyu.com,Astrid & Miyu,jewelry,attentive,workflow
astridwilson.com,https://astridwilson.com,Astrid Wilson,candles,mailchimp,workflow
astrthelabel.com,https://astrthelabel.com,Astr The Label,contemporary womens label,,workflow
asystem.com,https://asystem.com,Asystem,mens grooming wellness,klaviyo,workflow
athleticbrewing.com,https://athleticbrewing.com,Athletic Brewing,non-alcoholic beer,klaviyo,workflow
atlascoffeeclub.com,https://atlascoffeeclub.com,Atlas Coffee Club,coffee,klaviyo,workflow
atlaspetcompany.com,https://atlaspetcompany.com,Atlas Pet Company,dog gear,klaviyo,workflow
atlasstationers.com,https://atlasstationers.com,Atlas Stationers,stationery & pens,klaviyo,workflow
atoir.com,https://atoir.com,Atoir,contemporary womens label,klaviyo,workflow
attitudeliving.com,https://attitudeliving.com,ATTITUDE,Refillable EWG-verified care,,workflow
aubade.com,https://aubade.com,Aubade,luxury lingerie,klaviyo,workflow
audeara.com,https://audeara.com,Audeara,Hearing headphones,,workflow
audeze.com,https://audeze.com,Audeze,audio,attentive,workflow
audioquest.com,https://audioquest.com,AudioQuest,Cables & DACs,klaviyo,workflow
audocph.com,https://audocph.com,Menu / Audo,furniture decor,klaviyo,workflow
augustethelabel.com,https://augustethelabel.com,Auguste The Label,bohemian womens label,klaviyo,workflow
aukey.com,https://aukey.com,AUKEY,Charging accessories,,workflow
aunaturalecosmetics.com,https://aunaturalecosmetics.com,Au Naturale Cosmetics,clean color cosmetics,klaviyo,workflow
aupen.com,https://aupen.com,Aupen,accessories,klaviyo,workflow
aurabora.com,https://aurabora.com,Aura Bora,sparkling water,klaviyo,workflow
auratenewyork.com,https://auratenewyork.com,Aurate,jewelry,attentive,workflow
aureejewellery.com,https://aureejewellery.com,Auree Jewellery,fine jewelry,,workflow
aurelialondon.com,https://aurelialondon.com,Aurelia London,skincare,klaviyo,workflow
aureliegi.com,https://aureliegi.com,Aurelie Gi,jewelry,klaviyo,workflow
aurumandgrey.com,https://aurumandgrey.com,Aurum and Grey,fine jewelry,attentive,workflow
austinandkat.com,https://austinandkat.com,Austin and Kat,pet CBD,klaviyo,workflow
authenticity50.com,https://authenticity50.com,Authenticity50,bedding,klaviyo,workflow
autodromo.com,https://autodromo.com,Autodromo,watches,klaviyo,workflow
auvodka.com,https://auvodka.com,Au Vodka,Alcohol / Beverage,klaviyo,workflow
avarelle.com,https://avarelle.com,Avarelle,skincare,mailchimp,workflow
aventon.com,https://aventon.com,Aventon,e-bikes,,workflow
aviatornation.com,https://aviatornation.com,Aviator Nation,apparel,,workflow
avocadogreenbrands.com,https://avocadogreenbrands.com,Avocado Green Brands,Organic home goods,klaviyo,workflow
avocadogreenmattress.com,https://avocadogreenmattress.com,Avocado Green Mattress,bedding,klaviyo,workflow
awakenyclothing.com,https://awakenyclothing.com,Awake NY,streetwear,klaviyo,workflow
awaytravel.com,https://awaytravel.com,Away,bags,klaviyo,workflow
aweinspired.com,https://aweinspired.com,Awe Inspired,jewelry,klaviyo,workflow
axeandsledge.com,https://axeandsledge.com,Axe & Sledge,sports supplements,klaviyo,workflow
axiologybeauty.com,https://axiologybeauty.com,Axiology Beauty,clean lip cosmetics,klaviyo,workflow
axis-y.com,https://axis-y.com,Axis-Y,K-beauty skincare,klaviyo,workflow
ayr.com,https://ayr.com,AYR,fashion,klaviyo,workflow
azaria.com,https://azaria.com,AZARIA,intimate wellness,klaviyo,workflow
babobotanicals.com,https://babobotanicals.com,Babo Botanicals,baby skincare,klaviyo,workflow
baboontothemoon.com,https://baboontothemoon.com,Baboon to the Moon,bags,klaviyo,workflow
babyark.com,https://babyark.com,Babyark,car seats,,workflow
babyletto.com,https://babyletto.com,Babyletto,nursery furniture,attentive,workflow
babylist.com,https://babylist.com,Babylist,baby registry,,workflow
babymori.com,https://babymori.com,Mori,baby,klaviyo,workflow
babyphat.com,https://babyphat.com,Baby Phat,Children,mailchimp,workflow
babytula.com,https://babytula.com,Tula / Baby Tula,baby carriers,klaviyo,workflow
baccabucci.com,https://baccabucci.com,Bacca Bucci,footwear,,workflow
bachans.com,https://bachans.com,Bachan's,sauces,klaviyo,workflow
backtotheroots.com,https://backtotheroots.com,Back to the Roots,grow kits & seeds,klaviyo,workflow
badbirdiegolf.com,https://badbirdiegolf.com,Bad Birdie,golf polos,klaviyo,workflow
baggu.com,https://baggu.com,Baggu,bags,,workflow
bagsmart.com,https://bagsmart.com,Bagsmart,bags & organizers,klaviyo,workflow
bajaao.com,https://bajaao.com,Bajaao,musical-instruments,klaviyo,workflow
bajiosunglasses.com,https://bajiosunglasses.com,Bajio Sunglasses,fishing sunglasses,klaviyo,workflow
bakerskateboards.com,https://bakerskateboards.com,Baker Skateboards,skate,mailchimp,workflow
ballandbuck.com,https://ballandbuck.com,Ball and Buck,American menswear,klaviyo,workflow
ballwash.com,https://ballwash.com,Ballsy,Personal Care / Grooming,klaviyo,workflow
baltic-watches.com,https://baltic-watches.com,Baltic,watches,,workflow
bambaw.com,https://bambaw.com,Bambaw,Zero-waste bamboo essentials,,workflow
bambody.com,https://bambody.com,Bambody,period underwear,,workflow
bambuhome.com,https://bambuhome.com,Material Bowl / Bambu,kitchen tools,,workflow
banbeeyewear.com,https://banbeeyewear.com,Banbe,eyewear,klaviyo,workflow
banditrunning.com,https://banditrunning.com,Bandit Running,activewear,klaviyo,workflow
bando.com,https://bando.com,Ban.do,stationery & gifts,klaviyo,workflow
bangnbody.com,https://bangnbody.com,Bangn Body,skincare,klaviyo,workflow
bannortoys.com,https://bannortoys.com,Bannor Toys,wooden toys,klaviyo,workflow
banquetworkshop.com,https://banquetworkshop.com,Banquet Workshop,art prints & cards,klaviyo,workflow
bape.com,https://bape.com,Bape (A Bathing Ape),streetwear,klaviyo,workflow
barclondon.com,https://barclondon.com,Barc London,dog grooming & accessories,klaviyo,workflow
bareanatomy.in,https://bareanatomy.in,Bare Anatomy,haircare,,workflow
barebiology.com,https://barebiology.com,Needed alt - Bare Biology,omega-3 supplements,klaviyo,workflow
bareblends.com.au,https://bareblends.com.au,Bare Blends,protein (AU),klaviyo,workflow
baredfootwear.com,https://baredfootwear.com,Bared Footwear,footwear,,workflow
bareminerals.com,https://bareminerals.com,BareMinerals,mineral makeup,klaviyo,workflow
barenecessities.in,https://barenecessities.in,Bare Necessities,home-care,,workflow
bareperformancenutrition.com,https://bareperformancenutrition.com,Bare Performance Nutrition,sports supplements,attentive,workflow
bark.co,https://bark.co,BARK (BarkBox),pet subscription,klaviyo,workflow
barkbistrocompany.com,https://barkbistrocompany.com,Bark Bistro (Buddy Budder),dog treats,klaviyo,workflow
baronfig.com,https://baronfig.com,Baronfig,stationery,klaviyo,workflow
barproducts.com,https://barproducts.com,Yarai / Cocktail,barware,,workflow
barrym.com,https://barrym.com,Barry M,color cosmetics,,workflow
bartonwatchbands.com,https://bartonwatchbands.com,Barton Watch Bands,watch accessories,klaviyo,workflow
basepaws.com,https://basepaws.com,Basepaws,cat DNA tests,,workflow
baserange.com,https://baserange.com,Base Range,underwear / basics,klaviyo,workflow
baseus.com,https://baseus.com,Baseus,charging / accessories,klaviyo,workflow
baskandbloomessentials.com,https://baskandbloomessentials.com,Bask & Bloom,haircare,klaviyo,workflow
basksuncare.com,https://basksuncare.com,Bask Suncare,suncare,klaviyo,workflow
bassike.com,https://bassike.com,Bassike,contemporary womens label,klaviyo,workflow
bather.com,https://bather.com,Bather,swimwear,klaviyo,workflow
battlbox.com,https://battlbox.com,Battlbox,subscription,klaviyo,workflow
baublebar.com,https://baublebar.com,BaubleBar,jewelry,klaviyo,workflow
baumundpferdgarten.com,https://baumundpferdgarten.com,Baum und Pferdgarten,contemporary womens label,klaviyo,workflow
bawdybeauty.com,https://bawdybeauty.com,Bawdy Beauty,lip & body masks,attentive,workflow
baxterofcalifornia.com,https://baxterofcalifornia.com,Baxter of California,mens grooming,attentive,workflow
bbcicecream.com,https://bbcicecream.com,Billionaire Boys Club,streetwear,klaviyo,workflow
bblunt.com,https://bblunt.com,BBLUNT,haircare,,workflow
bdelliumtools.com,https://bdelliumtools.com,Bdellium Tools,makeup brushes,privy,workflow
bdgastore.com,https://bdgastore.com,Bodega,streetwear,mailchimp,workflow
beanlycoffee.com,https://beanlycoffee.com,Beanly Coffee,coffee,,workflow
bearaby.com,https://bearaby.com,Bearaby,bedding,klaviyo,workflow
beardbrand.com,https://beardbrand.com,Beardbrand,grooming,klaviyo,workflow
beardo.in,https://beardo.in,Beardo,Grooming,,workflow
beardsanddaisies.co.uk,https://beardsanddaisies.co.uk,Beards & Daisies,houseplants,klaviyo,workflow
beargrips.com,https://beargrips.com,Bear Grips,lifting accessories,,workflow
beauty-heroes.com,https://beauty-heroes.com,Beauty Heroes,clean beauty,,workflow
beautybakerie.com,https://beautybakerie.com,Beauty Bakerie,cosmetics,klaviyo,workflow
beautybio.com,https://beautybio.com,BeautyBio,skincare,klaviyo,workflow
beautyblender.com,https://beautyblender.com,Beautyblender,makeup tools & cosmetics,klaviyo,workflow
beautycounter.com,https://beautycounter.com,Beautycounter,beauty,klaviyo,workflow
beautyforreal.com,https://beautyforreal.com,Beauty For Real,color cosmetics,klaviyo,workflow
beautyglazed.com,https://beautyglazed.com,Beauty Glazed,color cosmetics,,workflow
beautyofjoseon.com,https://beautyofjoseon.com,Beauty of Joseon,skincare,klaviyo,workflow
beautystat.com,https://beautystat.com,BeautyStat,skincare,klaviyo,workflow
beavertownbrewery.co.uk,https://beavertownbrewery.co.uk,Beavertown Brewery,Food & Beverage,mailchimp,workflow
bebemoss.com,https://bebemoss.com,Bebemoss,toys,klaviyo,workflow
becandbridge.com.au,https://becandbridge.com.au,Bec and Bridge,contemporary womens label,klaviyo,workflow
beckettsimonon.com,https://beckettsimonon.com,Beckett Simonon,footwear,klaviyo,workflow
bedrocksandals.com,https://bedrocksandals.com,Bedrock Sandals,outdoor sandals,klaviyo,workflow
bee-link.com,https://bee-link.com,Beelink,mini PCs,,workflow
beefcakeswimwear.com,https://beefcakeswimwear.com,Beefcake Swimwear,swimwear,klaviyo,workflow
beeinspiredclothing.com,https://beeinspiredclothing.com,Bee Inspired,apparel,klaviyo,workflow
beekeepersnaturals.com,https://beekeepersnaturals.com,Beekeeper's Naturals,bee-based wellness,klaviyo,workflow
beekman1802.com,https://beekman1802.com,Beekman 1802,skincare,klaviyo,workflow
beeswrap.com,https://beeswrap.com,Bee's Wrap,kitchen storage,klaviyo,workflow
beginningboutique.com,https://beginningboutique.com,Beginning Boutique,fashion,klaviyo,workflow
beistravel.com,https://beistravel.com,Beis,bags,klaviyo,workflow
belifusa.com,https://belifusa.com,Belif,K-beauty skincare,,workflow
bellalunatoys.com,https://bellalunatoys.com,Bella Luna Toys,waldorf toys,klaviyo,workflow
bellamihair.com,https://bellamihair.com,Bellami Hair,hair extensions,klaviyo,workflow
